Name,GitHub,Company,Primary Contact
Simon MacDonald,macdonst,Adobe,
Brian Scott,bscott,Adobe,Yes
Baubak Gandomi,baubakg,Adobe,
Kevin Chen,kevincatwork,Adobe,
Greg Haynes,,Autodesk,Yes
Angie Byron,webchick,Aiven,
Josep Prat,jlprat,Aiven,Yes
Floor Drees,floord,Aiven,
Ahmed Sobeh,ahmedsobeh,Aiven,
Kevin Webber,rocketpages,Aiven,
Jonas van den Bogaard,jonasvdbo,Alliander,Yes
Nico Rikken,nicorikken,Alliander,
Nithya Ruff,nruff,Amazon,Yes
Mark Atwood,markatwood,Amazon,
Neil Zhao,zhaoyuheng200,Amazon,
Nathalie C. Chan King Choy,nathalie-ckc,AMD,Yes
Tomas Evensen,tomasevensen,AMD,
Jenny Thayer,jrburcio,Apple,
Tim Kolecke,kolecke,Apple,Yes
Federico Bucci,federicobucchi,Apple,
Philippe Robin,,ARM,
Chris Lloyd-Jones,sealjay,Avanade,Yes
Zhongyi Tan,,Baidu,Yes
Sounil Yu,,Bank of America,
Alyssa Wright,awright,Bloomberg,Yes
Michael Moss,michaelmoss,Bloomberg,
Stephen Augustus,justaugustus,Bloomberg,
Chris Hoeppler,choeppler,Bosch,Yes
Hans Malte Kern,,Bosch,
Marcel Kurzmann,mkurzman,Bosch,
Benjamin VanEvery,asheepapart,Box,
Jaxin Shan,jeffwan,ByteDance,
Le Ma,lema0601,ByteDance,Yes
Yuchen Jia,,CAICT,Yes
Zhiqiang Yu,zhiqiang-yu,China Mobile,Yes
Natali Vlatko,natalisucks,Cisco,Yes
Charles Eckel,eckelcu,Cisco,
Severin Neumann,svrnm,Cisco,
Michael Riskin,riskin,Cisco,
Karolyn Maynard,kmay246,Comcast,Yes
Fei Wan,fwan2000,Comcast,
Bipul Kumar Kuri,bipulkkuri,Comcast,
Gale McCommons,galemccommons,Comcast,
Anusha Pavuluri,anu1025sha,Comcast,
Jeremy Garcia,jeremy-lq,Datadog,Yes
Justin Mclean,justinmclean,Datastrato,Yes
Cornelius Schumacher,cornelius,DB Systel,Yes
Yunbo Wang,,Didi,Yes
Luke Faraone,lfaraone,Dropbox,
David Hirsch,davidphirsch,Dynatrace,Yes
,,eBay,Yes
Chris Howard,cm-howard,EPAM Systems,Yes
Thomas Steenbergen,tsteenbe,EPAM Systems,
Greg Back,gtback,Elastic,Yes
William Chaparro,wchaparro,Elastic,
Rohan Kale,kalerohan,Elastic,
Jamie Tanna,jamietanna,Elastic,
Bo Huang,bauxwulf,Elastic,
Edward Vielmetti,vielmetti,Equinix,
Georg Kunz,gkunz,Ericsson,Yes
Jimmy Ahlberg,jimmy-ahlberg,Ericsson,
Trishan de Lanerolle,trishan,F5,Yes
Christopher Polanec,cpolanec,Fidelity Investments,Yes
Justin Rackliffe,byjrack,Fidelity Investments,
Chris Xie,chrisxie-fw,Futurewei,Yes
Ashley Wolf,ashleywolf,GitHub,Yes
Jamie Jones,jbjonesjr,GitHub,
Lynette Rayle,elrayle,GitHub,
Eric Sorenson,ahpook,GitHub,
Kevin Dangoor,dangoor,GitHub,
Andrew Henry,ajhenry,GitHub,
Derek Prior,derekprior,GitHub,
Zack Koppert,zkoppert,GitHub,
Jeff McAffer,jeffmcaffer,GitHub,
William Bartholomew,iamwillbar,GitHub,
,,GitLab,Yes
Andrew Aitken,,Hedera,Yes
Sachin Bhakar,sachinbhakar,HERE Technologies,Yes
Paul Holland,peholland,Hewlett Packard Enterprise,Yes
Yuichi Nakamura,yuichi-nakamura,Hitachi,Yes
Nao Nishijima,naonishijima,Hitachi,
Ayumi Watanabe,awatanabe418,Hitachi,
Jie Liu,,Huawei,Yes
Jeffrey Jagoda,jagoda,IBM,
Duane O'Brien,duaneobrien,Indeed,
Rishi Pratap Singh,,Infosys,Yes
Jessica Marz,jkmarz,Intel,
Arun Gupta,,Intel,Yes
Christian Taylor,thatguyllc,Intersect,Yes
Terence McCutcheon,ranchhand87,Intersect,
Sriram Ramkrishna,sramkrishna,ITRenew,
Eric Riedel,er1p,ITRenew,Yes
Jinghe Ma,majinghe,JiHu (GitLab),Yes
Kiran Kuchibhotla,,Kyndryl,Yes
Nithya Pathirapandian,,Kyndryl,
Arvind Shetty,,Kyndryl,
